273,Thu Nov 20 10:21:49 2014,7.593,24.5,
274,Thu Nov 20 10:21:51 2014,7.593,24.5,
275,Thu Nov 20 10:21:52 2014,7.592,24.5,
276,Thu Nov 20 10:21:53 2014,7.591,24.5,
277,Thu Nov 20 10:21:54 2014,7.591,24.5,
278,Thu Nov 20 10:21:56 2014,7.59,24.5,
279,Thu Nov 20 10:21:57 2014,7.59,24.5,
280,Thu Nov 20 10:21:58 2014,7.589,24.5,
281,Thu Nov 20 10:22:00 2014,7.589,24.5,
282,Thu Nov 20 10:22:01 2014,7.588,24.5,
283,Thu Nov 20 10:22:02 2014,7.588,24.5,
284,Thu Nov 20 10:22:04 2014,7.587,24.5,
285,Thu Nov 20 10:22:05 2014,7.587,24.5,
286,Thu Nov 20 10:22:06 2014,7.586,24.5,
287,Thu Nov 20 10:22:07 2014,7.586,24.5,
288,Thu Nov 20 10:22:09 2014,7.585,24.5,
289,Thu Nov 20 10:22:10 2014,7.585,24.5,
290,Thu Nov 20 10:22:11 2014,7.584,24.5,
291,Thu Nov 20 10:22:13 2014,7.584,24.5,
292,Thu Nov 20 10:22:14 2014,7.583,24.5,
293,Thu Nov 20 10:22:15 2014,7.583,24.5,
294,Thu Nov 20 10:22:16 2014,7.582,24.5,
295,Thu Nov 20 10:22:18 2014,7.582,24.5,
296,Thu Nov 20 10:22:19 2014,7.581,24.5,
297,Thu Nov 20 10:22:20 2014,7.581,24.5,
298,Thu Nov 20 10:22:22 2014,7.58,24.5,
299,Thu Nov 20 10:22:23 2014,7.58,24.5,
300,Thu Nov 20 10:22:24 2014,7.579,24.5,
301,Thu Nov 20 10:22:25 2014,7.579,24.5,
302,Thu Nov 20 10:22:27 2014,7.578,24.5,
303,Thu Nov 20 10:22:28 2014,7.578,24.5,
304,Thu Nov 20 10:22:29 2014,7.577,24.5,
305,Thu Nov 20 10:22:31 2014,7.577,24.5,
306,Thu Nov 20 10:22:32 2014,7.576,24.5,
307,Thu Nov 20 10:22:33 2014,7.576,24.5,
308,Thu Nov 20 10:22:34 2014,7.576,24.4,
309,Thu Nov 20 10:22:36 2014,7.575,24.4,
310,Thu Nov 20 10:22:37 2014,7.574,24.4,
311,Thu Nov 20 10:22:38 2014,7.574,24.4,
312,Thu Nov 20 10:22:40 2014,7.573,24.4,
313,Thu Nov 20 10:22:41 2014,7.573,24.4,
314,Thu Nov 20 10:22:42 2014,7.573,24.4,
315,Thu Nov 20 10:22:43 2014,7.572,24.4,
316,Thu Nov 20 10:22:45 2014,7.572,24.4,
317,Thu Nov 20 10:22:46 2014,7.571,24.4,
318,Thu Nov 20 10:22:47 2014,7.571,24.4,
319,Thu Nov 20 10:22:49 2014,7.57,24.4,
320,Thu Nov 20 10:22:50 2014,7.57,24.4,
321,Thu Nov 20 10:22:51 2014,7.569,24.4,
322,Thu Nov 20 10:22:52 2014,7.569,24.4,
323,Thu Nov 20 10:22:54 2014,7.568,24.4,
324,Thu Nov 20 10:22:55 2014,7.568,24.4,
325,Thu Nov 20 10:22:56 2014,7.567,24.4,
326,Thu Nov 20 10:22:58 2014,7.567,24.4,
327,Thu Nov 20 10:22:59 2014,7.566,24.4,
328,Thu Nov 20 10:23:00 2014,7.566,24.4,
329,Thu Nov 20 10:23:01 2014,7.565,24.4,
330,Thu Nov 20 10:23:03 2014,7.565,24.4,
331,Thu Nov 20 10:23:04 2014,7.565,24.4,
332,Thu Nov 20 10:23:05 2014,7.564,24.4,
333,Thu Nov 20 10:23:07 2014,7.564,24.4,
334,Thu Nov 20 10:23:08 2014,7.563,24.4,
335,Thu Nov 20 10:23:09 2014,7.563,24.4,
336,Thu Nov 20 10:23:10 2014,7.562,24.4,
337,Thu Nov 20 10:23:12 2014,7.562,24.4,
338,Thu Nov 20 10:23:13 2014,7.561,24.4,
339,Thu Nov 20 10:23:14 2014,7.561,24.4,
340,Thu Nov 20 10:23:16 2014,7.561,24.4,
341,Thu Nov 20 10:23:17 2014,7.56,24.4,
342,Thu Nov 20 10:23:18 2014,7.56,24.4,
343,Thu Nov 20 10:23:19 2014,7.559,24.4,
344,Thu Nov 20 10:23:21 2014,7.559,24.4,
345,Thu Nov 20 10:23:22 2014,7.558,24.4,
346,Thu Nov 20 10:23:23 2014,7.558,24.4,
347,Thu Nov 20 10:23:25 2014,7.557,24.4,
348,Thu Nov 20 10:23:26 2014,7.557,24.4,
349,Thu Nov 20 10:23:27 2014,7.556,24.4,
